date	ouv	haut	bas	clot	vol	devise	
03/02/2026 00:00	8219.26	8234.5	8129.33	8179.5	4383	Pts	
04/02/2026 00:00	8219.96	8298.41	8203.27	8262.16	4973	Pts	
05/02/2026 00:00	8288.47	8312.68	8193.2	8238.17	4471	Pts	
06/02/2026 00:00	8214.85	8287.92	8175.09	8273.84	4447	Pts	
09/02/2026 00:00	8294.83	8323.28	8258.75	8323.28	3468	Pts	
10/02/2026 00:00	8348.82	8369.71	8316.61	8327.88	4050	Pts	
11/02/2026 00:00	8344.25	8358.23	8277.96	8313.24	4640	Pts	
12/02/2026 00:00	8432.15	8437.35	8332.73	8340.56	5155	Pts	
13/02/2026 00:00	8315.5	8331.96	8275.04	8311.74	5306	Pts	
16/02/2026 00:00	8322.85	8354.75	8313.94	8316.5	3085	Pts	
17/02/2026 00:00	8310.89	8368.25	8292.13	8361.46	3604	Pts	
18/02/2026 00:00	8370.48	8438.52	8365.63	8429.03	4382	Pts	
19/02/2026 00:00	8412.25	8415.88	8350.36	8398.78	4569	Pts	
20/02/2026 00:00	8442.18	8529	8421.11	8515.49	5063	Pts	
23/02/2026 00:00	8496.34	8532.95	8485.23	8497.17	3965	Pts	
24/02/2026 00:00	8471.44	8548.29	8461.88	8519.21	3885	Pts	
25/02/2026 00:00	8539.62	8560.91	8528.63	8559.07	4001	Pts	
26/02/2026 00:00	8568.76	8642.23	8562.86	8620.93	4269	Pts	
27/02/2026 00:00	8609.46	8638.93	8553.94	8580.75	7550	Pts	
02/03/2026 00:00	8404.95	8461.75	8378.18	8394.32	6199	Pts	
03/03/2026 00:00	8292.42	8298.31	8086.68	8103.84	6705	Pts	
04/03/2026 00:00	8122.6	8210.41	8089.81	8167.73	5054	Pts	
05/03/2026 00:00	8135.07	8215.02	8028.13	8045.8	5124	Pts	
06/03/2026 00:00	8083.67	8104.77	7913.02	7993.49	5236	Pts	
09/03/2026 00:00	7809.74	7929.53	7768.11	7915.36	4943	Pts	
10/03/2026 00:00	8064.82	8107.19	7995.81	8057.36	6288	Pts	
11/03/2026 00:00	7992.66	8057.22	7961.32	8041.81	3943	Pts	
12/03/2026 00:00	8006.73	8037.83	7916.5	7984.44	4725	Pts	
13/03/2026 00:00	7907.82	8016.43	7872.73	7911.53	4420	Pts	
16/03/2026 00:00	7921.02	7968.65	7856.61	7935.97	3670	Pts	
17/03/2026 00:00	7919.87	8022.27	7919.87	7974.49	3663	Pts	
18/03/2026 00:00	8008.93	8066.62	7944.34	7969.88	5458	Pts	
19/03/2026 00:00	7871.76	7887.95	7774.44	7807.87	6646	Pts	
20/03/2026 00:00	7869.68	7883.27	7660.47	7665.62	11362	Pts	
23/03/2026 00:00	7542.36	7876.7	7505.27	7726.2	6305	Pts	
24/03/2026 00:00	7743.55	7773.63	7660.24	7743.92	4067	Pts	
25/03/2026 00:00	7837.04	7884.14	7792.37	7846.55	4155	Pts	
26/03/2026 00:00	7795.78	7843.07	7756.17	7769.31	4429	Pts	
27/03/2026 00:00	7774.4	7785.46	7677.32	7701.95	4260	Pts	
30/03/2026 00:00	7689.05	7775.26	7680.21	7772.45	4527	Pts	
31/03/2026 00:00	7765.16	7850.14	7751.57	7816.94	5309	Pts	
01/04/2026 00:00	8004.81	8006.47	7918.52	7981.27	5270	Pts	
02/04/2026 00:00	7877.5	7993.08	7856.89	7962.39	3894	Pts	
07/04/2026 00:00	7997.91	8075.18	7881.04	7908.74	4156	Pts	
08/04/2026 00:00	8111.17	8305.47	8111.17	8263.87	8133	Pts	
09/04/2026 00:00	8251.21	8254.56	8183.36	8245.8	4825	Pts	
10/04/2026 00:00	8250.99	8320.39	8242.75	8259.6	4448	Pts	
13/04/2026 00:00	8178.22	8235.98	8163.37	8235.98	3781	Pts	
14/04/2026 00:00	8254.38	8336.05	8249.79	8327.86	4589	Pts	
15/04/2026 00:00	8283.42	8295.28	8258.29	8274.57	4112	Pts	
16/04/2026 00:00	8286.5	8331.08	8262.7	8262.7	4306	Pts	
17/04/2026 00:00	8265.27	8455.65	8263.57	8425.13	6562	Pts	
20/04/2026 00:00	8313.78	8356.81	8310.73	8331.05	4051	Pts	
21/04/2026 00:00	8320.07	8357.95	8230.79	8235.72	4031	Pts	
22/04/2026 00:00	8266.91	8266.91	8156.43	8156.43	4378	Pts	
23/04/2026 00:00	8186.2	8242.22	8142.49	8227.32	4579	Pts	
24/04/2026 00:00	8167.06	8224.22	8116.95	8157.82	4128	Pts	
27/04/2026 00:00	8160.18	8214.63	8127.83	8141.92	3170	Pts	
28/04/2026 00:00	8129.35	8172.89	8090.7	8104.09	3877	Pts	
29/04/2026 00:00	8088.98	8110.62	8036.46	8072.13	3879	Pts	
30/04/2026 00:00	7962.84	8115.08	7957.83	8114.84	5925	Pts	
